To calculate layer aerosol optical thickness at wavelength lambda 
(um=microns), use tau_aer=AOD(1um)*lambda^(-alpha)
      Angstrom alpha exponent
      1.46
Indices increase from bottom to top      
    layer AOD(1um)   SSA      g      
       1  0.00116   0.984   0.590
       2  0.00270   0.984   0.590
       3  0.00536   0.984   0.590
       4  0.00536   0.984   0.590
       5  0.01071   0.984   0.590
       6  0.01071   0.984   0.590
       7  0.00000   0.000   0.000
       8  0.00000   0.000   0.000
       9  0.00000   0.000   0.000
      10  0.00000   0.000   0.000
      11  0.00000   0.000   0.000
      12  0.00000   0.000   0.000
      13  0.00000   0.000   0.000
      14  0.00000   0.000   0.000
      15  0.00000   0.000   0.000
      16  0.00000   0.000   0.000
      17  0.00000   0.000   0.000
      18  0.00000   0.000   0.000
      19  0.00000   0.000   0.000
      20  0.00000   0.000   0.000
      21  0.00000   0.000   0.000
      22  0.00000   0.000   0.000
      23  0.00000   0.000   0.000
      24  0.00000   0.000   0.000
      25  0.00000   0.000   0.000
      26  0.00000   0.000   0.000
      27  0.00000   0.000   0.000
      28  0.00000   0.000   0.000
      29  0.00000   0.000   0.000
      30  0.00000   0.000   0.000
      31  0.00000   0.000   0.000
      32  0.00000   0.000   0.000
      33  0.00000   0.000   0.000
      34  0.00000   0.000   0.000
      35  0.00000   0.000   0.000
      36  0.00000   0.000   0.000
      37  0.00000   0.000   0.000
      38  0.00000   0.000   0.000
      39  0.00000   0.000   0.000
      40  0.00000   0.000   0.000
      41  0.00000   0.000   0.000
      42  0.00000   0.000   0.000
      43  0.00000   0.000   0.000
      44  0.00000   0.000   0.000
      45  0.00000   0.000   0.000
      46  0.00000   0.000   0.000
      47  0.00000   0.000   0.000
      48  0.00000   0.000   0.000
      49  0.00000   0.000   0.000
      50  0.00000   0.000   0.000
      51  0.00000   0.000   0.000
      52  0.00000   0.000   0.000
      53  0.00000   0.000   0.000
      54  0.00000   0.000   0.000
